Time,Open,High,Low,Close,Tick Volume
1375675200,131.235,131.353,130.9,130.934,8405
1375689600,130.932,131.005,130.535,130.633,15307
1375704000,130.635,130.737,130.535,130.606,12157
1375718400,130.602,130.886,130.458,130.659,11995
1375732800,130.652,130.67,130.146,130.295,7596
1375747200,130.295,130.318,129.892,129.962,9298
1375761600,129.963,130.459,129.801,130.458,12510
1375776000,130.458,130.729,130.217,130.256,13974
1375790400,130.256,130.566,130.12,130.52,13955
1375804800,130.516,130.516,129.887,129.981,15161
1375819200,129.977,130.174,129.891,130.105,6877
1375833600,130.105,130.116,129.142,129.412,13540
1375848000,129.411,129.582,129.077,129.078,10818
1375862400,129.075,129.289,128.557,128.903,19253
1375876800,128.898,129.465,128.628,128.661,18080
1375891200,128.661,128.927,128.466,128.782,14752
1375905600,128.786,128.816,128.44,128.524,9075
1375920000,128.524,129.226,128.514,128.79,11848
1375934400,128.793,129.136,128.356,128.405,13236
1375948800,128.403,128.746,128.215,128.577,16849
1375963200,128.574,128.797,128.332,128.512,13689
1375977600,128.519,129.038,128.293,129.027,15577
1375992000,129.027,129.452,128.943,129.264,7513
